,Age_group,Sex,Age
0,18–64,Female,34
1,0–17,Female,0
2,18–64,Female,21
3,18–64,Male,47
4,0–17,Male,9
5,65+,Female,83
6,18–64,Male,52
7,18–64,Female,50
8,0–17,Male,7
9,0–17,Female,10
10,0–17,Female,14
11,65+,Male,70
12,18–64,Male,34
13,18–64,Female,28
14,0–17,Female,13
15,0–17,Female,8
16,0–17,Female,14
17,0–17,Male,5
18,18–64,Female,56
19,18–64,Male,44
20,18–64,Male,19
21,0–17,Female,13
22,65+,Female,97
23,18–64,Female,19
24,18–64,Female,55
25,0–17,Female,5
26,0–17,Female,13
27,0–17,Male,7
28,0–17,Male,4
29,18–64,Male,40
30,18–64,Male,34
31,65+,Female,79
32,0–17,Female,5
33,0–17,Female,16
34,0–17,Female,8
35,0–17,Male,8
36,0–17,Male,2
37,0–17,Female,12
38,0–17,Female,1
39,18–64,Male,50
40,0–17,Female,8
41,18–64,Female,22
42,18–64,Male,35
43,0–17,Female,10
44,18–64,Female,51
45,18–64,Female,39
46,0–17,Female,15
47,0–17,Female,2
48,18–64,Male,52
49,0–17,Male,2
50,0–17,Female,4
51,0–17,Male,16
52,18–64,Female,21
53,18–64,Male,39
54,18–64,Male,63
55,18–64,Female,57
56,0–17,Female,9
57,0–17,Female,1
58,0–17,Male,5
59,0–17,Male,4
60,18–64,Male,21
61,0–17,Female,12
62,0–17,Female,10
63,18–64,Male,41
64,18–64,Male,60
65,0–17,Female,2
66,0–17,Female,9
67,0–17,Female,17
68,0–17,Male,1
69,0–17,Female,15
70,0–17,Female,12
71,0–17,Female,6
72,18–64,Female,53
73,0–17,Female,2
74,0–17,Male,3
75,0–17,Female,5
76,0–17,Female,2
77,18–64,Male,34
78,0–17,Female,11
79,18–64,Female,58
80,18–64,Male,20
81,0–17,Female,9
82,18–64,Female,21
83,0–17,Male,0
84,0–17,Male,11
85,0–17,Male,15
86,18–64,Male,46
87,0–17,Female,15
88,0–17,Male,8
89,0–17,Female,1
90,0–17,Male,5
91,18–64,Male,56
92,0–17,Female,15
93,0–17,Female,14
94,0–17,Female,4
95,18–64,Male,27
96,0–17,Female,1
97,0–17,Male,7
98,0–17,Male,1
99,65+,Female,95
100,65+,Male,72
101,18–64,Male,56
102,0–17,Female,17
103,65+,Female,93
104,18–64,Female,62
105,18–64,Male,64
106,0–17,Female,7
107,0–17,Female,9
108,0–17,Male,4
109,65+,Male,99
110,0–17,Female,10
111,0–17,Female,13
112,0–17,Female,6
113,0–17,Female,8
114,0–17,Male,11
115,18–64,Female,25
116,18–64,Male,62
117,18–64,Male,30
118,0–17,Female,4
119,18–64,Male,28
120,0–17,Female,4
121,18–64,Male,23
122,0–17,Male,14
123,0–17,Female,1
124,0–17,Male,17
125,0–17,Female,8
126,0–17,Female,16
127,0–17,Male,11
128,0–17,Male,1
129,0–17,Female,5
130,0–17,Male,7
131,65+,Male,68
132,0–17,Female,0
133,0–17,Female,2
134,0–17,Female,3
135,0–17,Male,14
136,65+,Female,83
137,0–17,Female,4
138,18–64,Female,24
139,0–17,Male,11
140,0–17,Female,11
141,0–17,Female,13
142,65+,Male,91
143,0–17,Female,6
144,0–17,Female,3
145,0–17,Female,3
146,0–17,Female,15
147,0–17,Female,8
148,0–17,Female,6
149,0–17,Male,7
150,18–64,Female,48
151,18–64,Female,42
152,0–17,Male,17
153,0–17,Female,17
154,0–17,Male,1
155,18–64,Male,28
156,0–17,Female,6
157,18–64,Male,43
158,18–64,Male,61
159,18–64,Male,33
160,0–17,Male,2
161,65+,Male,76
162,0–17,Female,8
163,0–17,Male,3
164,0–17,Female,2
165,0–17,Female,10
166,18–64,Female,54
167,18–64,Female,38
168,0–17,Female,2
169,65+,Female,74
170,0–17,Female,6
171,0–17,Female,15
172,0–17,Female,10
173,65+,Male,83
174,0–17,Male,5
175,0–17,Male,3
176,0–17,Female,10
177,65+,Female,92
178,18–64,Female,20
179,18–64,Male,47
180,18–64,Female,35
181,18–64,Female,51
182,0–17,Female,6
183,0–17,Female,6
184,18–64,Female,45
185,18–64,Male,40
186,0–17,Female,12
187,0–17,Male,6
188,18–64,Male,22
189,0–17,Female,7
190,65+,Male,89
191,0–17,Female,17
192,0–17,Male,6
193,18–64,Female,30
194,0–17,Male,14
195,0–17,Male,4
196,0–17,Female,6
197,18–64,Female,24
198,0–17,Female,8
199,0–17,Female,11
200,18–64,Female,45
201,65+,Female,95
202,0–17,Female,6
203,0–17,Male,6
204,0–17,Male,13
205,0–17,Female,14
206,0–17,Male,16
207,18–64,Male,57
