PAT_COUNTY,JS_similarity,JS_divergence,N_real,N_synth,TOTAL,PERCENTAGE
401.0,76.09895117229868,0.23901048827701307,159,645,804,0.0015337159992903702
439.0,86.98293734199663,0.1301706265800337,7930,33769,41699,0.07954530280399148
201.0,85.50997704451713,0.14490022955482879,17389,73948,91337,0.1742350972974932
339.0,83.96489666155986,0.16035103338440132,2312,9642,11954,0.022803533651140653
39.0,82.64188273628321,0.1735811726371679,1019,4706,5725,0.010921049870568867
209.0,82.22273614000022,0.17777263859999778,600,2643,3243,0.006186369385197351
157.0,85.08838069806818,0.1491161930193182,1514,6539,8053,0.015361958883439492
21.0,82.8202803359005,0.1717971966409949,335,1383,1718,0.003277268764652806
215.0,81.61091996884676,0.18389080031153243,3435,14768,18203,0.03472416957099827
355.0,82.46507950286912,0.17534920497130885,1264,5901,7165,0.013668003899148636
29.0,85.55998970436536,0.14440010295634642,7181,30501,37682,0.0718824456284325
141.0,85.24100856884756,0.14758991431152435,3149,13176,16325,0.031141683692058823
113.0,86.46218280743287,0.1353781719256712,9776,41000,50776,0.09686065121886547
85.0,87.55283682852388,0.12447163171476118,3514,15040,18554,0.03539373961546459
485.0,82.26013269314787,0.17739867306852136,541,2197,2738,0.005223027868230141
471.0,81.54260317348442,0.18457396826515565,275,1104,1379,0.0026305900037579856
277.0,78.31360696446089,0.2168639303553911,201,671,872,0.0016634332728621927
453.0,85.61865471518742,0.14381345284812588,3415,14231,17646,0.0336616324918879
61.0,80.18131935814493,0.19818680641855066,1719,7432,9151,0.017456511330231565
309.0,85.15326378965212,0.14846736210347894,925,3772,4697,0.0089600299112772
481.0,82.78348659246232,0.17216513407537665,198,744,942,0.001796965760362598
273.0,78.0541439801252,0.219458560198748,81,326,407,0.0007763960344666426
491.0,84.46809070565736,0.15531909294342636,1400,5702,7102,0.01354782466039827
281.0,70.2171261803323,0.297828738196677,71,367,438,0.0008355318503596793
303.0,84.10567742494345,0.15894322575056552,1074,4626,5700,0.01087335969646158
161.0,73.067305338486,0.26932694661514006,101,369,470,0.0008965752732170074
291.0,83.48857216095777,0.1651142783904222,413,1674,2087,0.003981175734476371
107.0,52.34546211552442,0.47654537884475584,18,71,89,0.00016977701982194397
121.0,84.48512143770806,0.1551487856229195,2070,8612,10682,0.020377057592561858
419.0,73.218531800323,0.26781468199676994,96,424,520,0.0009919556214315827
27.0,83.80482621162719,0.16195173788372805,1228,5227,6455,0.012313602954501667
441.0,81.69134515634524,0.18308654843654756,541,2106,2647,0.005049435634479614
41.0,80.43648319768768,0.19563516802312314,572,2380,2952,0.0056312557585885235
167.0,82.16478824641979,0.17835211753580207,1145,5116,6261,0.011943527203429114
373.0,74.18783712820337,0.2581216287179663,183,826,1009,0.0019247754269701288
245.0,81.32848835697557,0.18671511643024427,1015,4122,5137,0.009799376975565462
139.0,83.89483153980267,0.16105168460197342,965,4208,5173,0.009868050826279957
375.0,81.94429226629028,0.1805570773370972,500,1944,2444,0.004662191420728439
325.0,77.30279672278994,0.22697203277210068,135,488,623,0.0011884391387536077
451.0,78.16394245073471,0.21836057549265298,548,2452,3000,0.005722820892874516
7.0,79.74092691429568,0.20259073085704318,100,468,568,0.001083520755717575
135.0,84.1177626766056,0.15882237323394394,393,1609,2002,0.0038190291425115935
409.0,84.77851025921424,0.15221489740785754,331,1301,1632,0.0031132145657237365
423.0,86.22424589560667,0.13775754104393326,957,4197,5154,0.009831806293958419
